Solomon Islands,"Life expectancy at birth, total (years)",72.424,72.645
Grenada,"Life expectancy at birth, total (years)",72.408,72.388
"Venezuela, RB","Life expectancy at birth, total (years)",72.405,72.246
Cabo Verde,"Life expectancy at birth, total (years)",72.347,72.57
Libya,"Life expectancy at birth, total (years)",72.311,72.52
Kazakhstan,"Life expectancy at birth, total (years)",72.3,72.95
St. Vincent and the Grenadines,"Life expectancy at birth, total (years)",72.193,72.3
World,"Life expectancy at birth, total (years)",72.18217105,72.38300866
Bangladesh,"Life expectancy at birth, total (years)",71.785,72.052
"Korea, Dem. People’s Rep.","Life expectancy at birth, total (years)",71.711,71.91
Russian Federation,"Life expectancy at birth, total (years)",71.65121951,72.11902439
Kosovo,"Life expectancy at birth, total (years)",71.64634146,71.94634146
Moldova,"Life expectancy at birth, total (years)",71.617,71.717
"Egypt, Arab Rep.","Life expectancy at birth, total (years)",71.482,71.656
Ukraine,"Life expectancy at birth, total (years)",71.47634146,71.78097561
Middle income,"Life expectancy at birth, total (years)",71.46773664,71.70243385
Arab World,"Life expectancy at birth, total (years)",71.43649684,71.62252633
Suriname,"Life expectancy at birth, total (years)",71.358,71.463
Uzbekistan,"Life expectancy at birth, total (years)",71.171,71.388
Indonesia,"Life expectancy at birth, total (years)",71.035,71.282
Kyrgyz Republic,"Life expectancy at birth, total (years)",70.95121951,71.2
Philippines,"Life expectancy at birth, total (years)",70.802,70.952
Bhutan,"Life expectancy at birth, total (years)",70.781,71.129
Bolivia,"Life expectancy at birth, total (years)",70.626,70.945
IDA & IBRD total,"Life expectancy at birth, total (years)",70.61943318,70.85855778
Tonga,"Life expectancy at birth, total (years)",70.607,70.701
Low & middle income,"Life expectancy at birth, total (years)",70.55541384,70.79658768
Tajikistan,"Life expectancy at birth, total (years)",70.397,70.647
Syrian Arab Republic,"Life expectancy at birth, total (years)",70.315,70.967
Iraq,"Life expectancy at birth, total (years)",70.122,70.294
Vanuatu,"Life expectancy at birth, total (years)",70.021,70.172
Early-demographic dividend,"Life expectancy at birth, total (years)",70.01206579,70.2552611
Nepal,"Life expectancy at birth, total (years)",69.848,70.169
Sao Tome and Principe,"Life expectancy at birth, total (years)",69.67,69.933
Pacific island small states,"Life expectancy at birth, total (years)",69.61374193,69.77428378
Guyana,"Life expectancy at birth, total (years)",69.454,69.624
Mongolia,"Life expectancy at birth, total (years)",69.321,69.509
Cambodia,"Life expectancy at birth, total (years)",68.977,69.289
Small states,"Life expectancy at birth, total (years)",68.96046273,69.2613898
South Asia,"Life expectancy at birth, total (years)",68.91615144,69.1713119
South Asia (IDA & IBRD),"Life expectancy at birth, total (years)",68.91615144,69.1713119
India,"Life expectancy at birth, total (years)",68.897,69.165
Timor-Leste,"Life expectancy at birth, total (years)",68.735,69.007
Botswana,"Life expectancy at birth, total (years)",68.178,68.812
Lower middle income,"Life expectancy at birth, total (years)",68.07456289,68.32302436
Rwanda,"Life expectancy at birth, total (years)",67.93,68.341
Other small states,"Life expectancy at birth, total (years)",67.8356294,68.20548751
Turkmenistan,"Life expectancy at birth, total (years)",67.835,67.956
Kiribati,"Life expectancy at birth, total (years)",67.577,67.851
"Micronesia, Fed. Sts.","Life expectancy at birth, total (years)",67.471,67.618
Fiji,"Life expectancy at birth, total (years)",67.175,67.252
Senegal,"Life expectancy at birth, total (years)",67.078,67.38
Lao PDR,"Life expectancy at birth, total (years)",66.924,67.277
Pakistan,"Life expectancy at birth, total (years)",66.77,66.947
Myanmar,"Life expectancy at birth, total (years)",66.205,66.558
"Yemen, Rep.","Life expectancy at birth, total (years)",66.087,66.086
Madagascar,"Life expectancy at birth, total (years)",65.931,66.311
Ethiopia,"Life expectancy at birth, total (years)",65.482,65.872
Gabon,"Life expectancy at birth, total (years)",65.418,65.839
Kenya,"Life expectancy at birth, total (years)",65.393,65.909
Eritrea,"Life expectancy at birth, total (years)",65.111,65.538
Djibouti,"Life expectancy at birth, total (years)",65.064,65.893
Sudan,"Life expectancy at birth, total (years)",64.663,64.881
IDA only,"Life expectancy at birth, total (years)",64.616877,64.97329468
Least developed countries: UN classification,"Life expectancy at birth, total (years)",64.34577144,64.70773022
Mauritania,"Life expectancy at birth, total (years)",64.208,64.464
Tanzania,"Life expectancy at birth, total (years)",63.844,64.479
Afghanistan,"Life expectancy at birth, total (years)",63.763,64.13
