,Country,Year,CO2 Emmissions (Kilo Ton),Expenditure on defense,Expenditure on economic affairs,Expenditure on education,Expenditure on environment protection,Expenditure on general public services,Expenditure on health,Expenditure on housing & community amenities,Expenditure on public order & safety,"Expenditure on recreation, culture, & religion",Expenditure on social protection
53,Azerbaijan,2010,30678.122,8.86807939113565,35.6461722131025,9.18668855394717,0.0850619310550664,10.3193553201015,3.27861513206984,1.60946127443665,5.18057006416953,1.30726757200418,21.6952693627817
54,Azerbaijan,2009,31902.9,9.92522832959754,34.6609347295172,10.0456659195075,0.0920009367368104,6.49442976146666,3.46007159345622,1.87681910943093,5.62376635107557,1.37248670168278,22.9333244120304
55,Azerbaijan,2008,35503.894,10.9977399627759,41.3221217761234,8.5042209518745,0.0814278117521936,7.81374634405743,2.97710050518479,1.58950412124435,4.58405344323318,1.21809359212975,18.6926681733581
56,Belarus,2014,63497.772,2.36716502713725,11.844858542556,13.5205436894967,0.295029286118741,7.24239385601665,10.9033477754765,9.21306973507181,6.05203819595579,3.55108852391003,35.0104653682605
57,Belarus,2013,63769.13,2.26854693011385,11.3771830460841,12.7738306902584,0.262987152648332,16.2913309053368,9.94225144102549,5.71334346591724,5.39868371999656,2.48888044506897,33.4830876659689
58,Belarus,2012,63222.747,2.34924105876648,13.8909576658097,13.0864067632231,0.395848010466893,15.5388071035802,10.0629477478796,5.54457121421448,4.95475630621152,2.62614710376314,31.5501797853555
59,Belarus,2011,64062.49,2.55882958052349,15.4580409189622,14.5316721911076,0.530346325294319,7.93279231912219,10.8630472053949,7.63369527946051,4.52641444736541,3.91048119785118,32.0546805349183
60,Belarus,2010,63043.064,2.20462942265083,17.7566682678096,13.4379811445627,0.67729298502799,7.09725004685269,10.1129272539386,8.99205320730633,4.55297519502494,3.71823173849419,31.4499253568218
61,Belarus,2009,61220.565,2.08549950947834,24.0730618301028,12.17981716643,0.625508756268623,7.28134801140691,9.37884267355631,7.67747439233202,4.21926912272791,4.04865837756153,28.430556147973
62,Belarus,2008,63105.403,2.26615128801824,27.4503332496337,12.1249325295535,0.877983775458354,6.37945497719351,9.04358719356554,8.001251144279,4.15254311682817,4.05036053438571,25.6534021910842
63,Belarus,2007,60523.835,2.50074040109793,24.1013716052751,13.0917242794761,1.10882550892847,6.73488424641909,10.1133625466623,6.95036080959317,4.65422572909536,3.81882856743186,26.9256763060206
